crop,soil_type,pH,weather,available_N,available_P,available_K,rec_N,rec_P,rec_K,Urea(kg),SSP(kg),MOP(kg),fertilizer_N,fertilizer_P,fertilizer_K,notes,
Soybean,Sandy loam,6.8,Rainy,High (299),Low (15),High (293),29,20,19,63,125,32,Urea,SSP,MOP,Apply NPK basal; ensure proper rhizobium inoculation,
Wheat,Alluvial,6.8,Rainy,High (262),High (26),High (163),45,18,21,98,112,35,Urea,SSP,MOP,Top-dress N at crown root initiation; P & K basal,
Wheat,Clay loam,7.4,Normal,Low (187),Medium (20),High (276),50,16,25,109,100,42,Urea,SSP,MOP,Top-dress N at crown root initiation; P & K basal,
Soybean,Sandy loam,7.2,Rainy,Medium (225),Medium (18),High (224),28,16,18,61,100,30,Urea,SSP,MOP,Apply NPK basal; ensure proper rhizobium inoculation,
Potato,Red soil,7.3,Normal,High (257),Low (11),High (116),54,21,35,117,0,58,Urea,DAP,MOP,Add organic manure at planting; N & K split,
Soybean,Red soil,7.3,Normal,High (260),Medium (23),High (200),27,19,25,59,119,42,Urea,SSP,MOP,Apply NPK basal; ensure proper rhizobium inoculation,
Red Gram,Sandy loam,7.4,Dry,High (260),Low (10),High (221),22,15,23,48,94,38,Urea,SSP,MOP,Apply NPK basal; split K at flowering,
Groundnut,Sandy loam,7.7,Dry,High (268),Medium (19),High (259),32,20,24,70,125,40,Urea,SSP,MOP,Apply gypsum at pegging; NPK basal,
Paddy,Clay loam,5.5,Normal,Medium (209),Medium (17),High (113),44,23,16,96,144,27,Urea,SSP,MOP,Apply N in 2–3 splits; P & K basal at planting,
Wheat,Alluvial,6.9,Humid,Low (158),Medium (19),High (187),43,20,17,93,125,28,Urea,SSP,MOP,Top-dress N at crown root initiation; P & K basal,
Paddy,Black soil,7,Humid,High (265),High (27),High (139),50,20,16,109,125,27,Urea,SSP,MOP,Apply N in 2–3 splits; P & K basal at planting,
Red Gram,Sandy loam,7,Dry,High (297),High (26),High (141),20,17,17,43,106,28,Urea,SSP,MOP,Apply NPK basal; split K at flowering,
Tomato,Red soil,7.3,Rainy,Low (167),Medium (18),High (289),60,21,29,130,0,48,Urea,DAP,MOP,Additional foliar sprays recommended; N & K in splits,
Soybean,Black soil,7.4,Humid,Low (169),Medium (21),High (230),29,16,23,63,100,38,Urea,SSP,MOP,Apply NPK basal; ensure proper rhizobium inoculation,
Soybean,Sandy loam,5.6,Rainy,High (297),Medium (23),High (296),22,17,20,48,106,33,Urea,SSP,MOP,Apply NPK basal; ensure proper rhizobium inoculation,
Paddy,Clay loam,6.9,Normal,High (291),Medium (23),High (149),51,22,20,111,138,33,Urea,SSP,MOP,Apply N in 2–3 splits; P & K basal at planting,
Red Gram,Black soil,6.9,Normal,Low (176),Medium (19),High (109),24,17,20,52,106,33,Urea,SSP,MOP,Apply NPK basal; split K at flowering,
Sugarcane,Black soil,5.9,Humid,High (270),Medium (16),High (110),91,31,40,198,0,67,Urea,DAP,MOP,Apply N & K in 3 splits; P basal,
Potato,Sandy loam,7.6,Dry,Medium (223),Medium (18),High (206),61,29,30,133,0,50,Urea,DAP,MOP,Add organic manure at planting; N & K split,
Red Gram,Alluvial,6.6,Normal,Low (155),Medium (25),High (282),28,18,23,61,112,38,Urea,SSP,MOP,Apply NPK basal; split K at flowering,
Potato,Black soil,6.5,Rainy,Low (164),Medium (22),High (146),60,20,31,130,0,52,Urea,DAP,MOP,Add organic manure at planting; N & K split,
Soybean,Black soil,6.4,Dry,High (276),Medium (18),High (226),30,15,17,65,94,28,Urea,SSP,MOP,Apply NPK basal; ensure proper rhizobium inoculation,
Wheat,Sandy loam,6.5,Dry,Medium (209),Medium (17),High (287),42,16,24,91,100,40,Urea,SSP,MOP,Top-dress N at crown root initiation; P & K basal,
Groundnut,Alluvial,6.5,Dry,Medium (235),High (26),High (152),24,22,20,52,138,33,Urea,SSP,MOP,Apply gypsum at pegging; NPK basal,
Tomato,Red soil,7.5,Humid,Low (178),Medium (17),High (180),52,24,29,113,0,48,Urea,DAP,MOP,Additional foliar sprays recommended; N & K in splits,
Red Gram,Black soil,6.9,Rainy,Low (155),Medium (21),High (124),24,17,21,52,106,35,Urea,SSP,MOP,Apply NPK basal; split K at flowering,
Red Gram,Black soil,7.2,Rainy,Low (193),Low (15),High (231),24,15,16,52,94,27,Urea,SSP,MOP,Apply NPK basal; split K at flowering,
Wheat,Black soil,7.1,Normal,Medium (207),Medium (16),High (244),41,25,19,89,156,32,Urea,SSP,MOP,Top-dress N at crown root initiation; P & K basal,
Tomato,Black soil,7.2,Dry,High (254),Low (14),High (298),55,29,30,120,0,50,Urea,DAP,MOP,Additional foliar sprays recommended; N & K in splits,
Red Gram,Black soil,6.9,Dry,Low (169),High (26),High (198),23,19,19,50,119,32,Urea,SSP,MOP,Apply NPK basal; split K at flowering,
Cotton,Sandy loam,6.3,Humid,Low (167),Medium (25),High (148),35,15,34,76,0,57,Urea,DAP,MOP,Apply ZnSO₄ if deficiency seen; N in splits,
Soybean,Clay loam,5.6,Dry,Medium (208),Low (12),High (216),29,16,20,63,100,33,Urea,SSP,MOP,Apply NPK basal; ensure proper rhizobium inoculation,
Sugarcane,Red soil,7.1,Normal,Medium (212),Low (14),High (262),88,28,40,191,0,67,Urea,DAP,MOP,Apply N & K in 3 splits; P basal,
Sugarcane,Sandy loam,5.8,Dry,Medium (229),Low (10),High (122),86,29,39,187,0,65,Urea,DAP,MOP,Apply N & K in 3 splits; P basal,
Wheat,Clay loam,7.7,Dry,High (270),Medium (19),High (242),50,19,22,109,119,37,Urea,SSP,MOP,Top-dress N at crown root initiation; P & K basal,
Paddy,Red soil,7.1,Normal,Medium (227),Medium (20),High (128),47,16,22,102,100,37,Urea,SSP,MOP,Apply N in 2–3 splits; P & K basal at planting,
Wheat,Red soil,7.7,Dry,Medium (217),Medium (23),High (261),48,22,23,104,138,38,Urea,SSP,MOP,Top-dress N at crown root initiation; P & K basal,
Cotton,Alluvial,6.1,Rainy,High (266),Medium (20),High (162),47,22,27,102,0,45,Urea,DAP,MOP,Apply ZnSO₄ if deficiency seen; N in splits,
Groundnut,Sandy loam,6.1,Normal,Medium (230),Medium (16),High (280),24,16,30,52,100,50,Urea,SSP,MOP,Apply gypsum at pegging; NPK basal,
Potato,Red soil,7.8,Dry,Low (154),Medium (19),High (245),70,28,35,152,0,58,Urea,DAP,MOP,Add organic manure at planting; N & K split,
Potato,Sandy loam,6.8,Normal,High (288),Medium (25),High (234),68,21,30,148,0,50,Urea,DAP,MOP,Add organic manure at planting; N & K split,
Red Gram,Clay loam,7.1,Humid,Low (150),Medium (19),High (296),21,15,16,46,94,27,Urea,SSP,MOP,Apply NPK basal; split K at flowering,
Sugarcane,Clay loam,6.9,Normal,High (298),High (29),High (275),80,34,36,174,0,60,Urea,DAP,MOP,Apply N & K in 3 splits; P basal,
Groundnut,Clay loam,5.8,Normal,Medium (250),Medium (24),High (155),23,20,28,50,125,47,Urea,SSP,MOP,Apply gypsum at pegging; NPK basal,
Groundnut,Sandy loam,7.4,Rainy,Low (180),Medium (25),High (227),20,17,29,43,106,48,Urea,SSP,MOP,Apply gypsum at pegging; NPK basal,
Paddy,Alluvial,6.7,Dry,High (280),Low (12),High (132),46,25,23,100,156,38,Urea,SSP,MOP,Apply N in 2–3 splits; P & K basal at planting,
Maize,Red soil,6.4,Rainy,High (294),High (26),High (279),60,25,25,130,0,42,Urea,DAP,MOP,"Half N basal, half at knee-high stage; P & K basal",
Groundnut,Red soil,5.5,Normal,High (260),Low (15),High (193),29,21,25,63,131,42,Urea,SSP,MOP,Apply gypsum at pegging; NPK basal,
Sugarcane,Clay loam,7.5,Dry,Low (150),Medium (22),High (179),85,25,37,185,0,62,Urea,DAP,MOP,Apply N & K in 3 splits; P basal,
Maize,Sandy loam,6.7,Rainy,Medium (247),Medium (19),High (132),51,22,22,111,0,37,Urea,DAP,MOP,"Half N basal, half at knee-high stage; P & K basal",
Maize,Sandy loam,5.9,Dry,High (294),Medium (21),High (253),50,23,21,109,0,35,Urea,DAP,MOP,"Half N basal, half at knee-high stage; P & K basal",
Wheat,Alluvial,7.3,Humid,Low (199),Low (11),High (266),50,22,15,109,138,25,Urea,SSP,MOP,Top-dress N at crown root initiation; P & K basal,
Sugarcane,Sandy loam,6.8,Normal,Low (164),Medium (18),High (220),91,35,39,198,0,65,Urea,DAP,MOP,Apply N & K in 3 splits; P basal,
Tomato,Sandy loam,6.7,Dry,Medium (221),Medium (21),High (197),57,24,31,124,0,52,Urea,DAP,MOP,Additional foliar sprays recommended; N & K in splits,
Maize,Clay loam,6.9,Normal,High (300),High (30),High (166),50,24,25,109,0,42,Urea,DAP,MOP,"Half N basal, half at knee-high stage; P & K basal",
Sugarcane,Red soil,6,Dry,High (279),Medium (22),High (170),86,27,31,187,0,52,Urea,DAP,MOP,Apply N & K in 3 splits; P basal,
Sugarcane,Alluvial,7.5,Dry,Low (176),Medium (18),High (276),82,31,38,178,0,63,Urea,DAP,MOP,Apply N & K in 3 splits; P basal,
Wheat,Black soil,6.9,Dry,Medium (229),Low (15),High (100),37,16,24,80,100,40,Urea,SSP,MOP,Top-dress N at crown root initiation; P & K basal,
Cotton,Alluvial,7.1,Dry,Medium (225),Low (12),High (165),48,25,29,104,0,48,Urea,DAP,MOP,Apply ZnSO₄ if deficiency seen; N in splits,
Wheat,Sandy loam,7.7,Dry,Low (153),Low (15),High (252),46,16,15,100,100,25,Urea,SSP,MOP,Top-dress N at crown root initiation; P & K basal,
Potato,Clay loam,6.4,Humid,Low (189),Low (13),High (186),55,23,30,120,0,50,Urea,DAP,MOP,Add organic manure at planting; N & K split,
Wheat,Sandy loam,7.5,Humid,High (267),High (27),High (214),49,16,15,107,100,25,Urea,SSP,MOP,Top-dress N at crown root initiation; P & K basal,
Potato,Sandy loam,7.1,Dry,High (283),High (28),High (187),52,27,35,113,0,58,Urea,DAP,MOP,Add organic manure at planting; N & K split,
Sugarcane,Red soil,6.8,Dry,Medium (208),Low (11),High (208),91,30,32,198,0,53,Urea,DAP,MOP,Apply N & K in 3 splits; P basal,
Tomato,Sandy loam,7.4,Normal,Low (159),Medium (19),High (282),59,21,23,128,0,38,Urea,DAP,MOP,Additional foliar sprays recommended; N & K in splits,
Soybean,Red soil,6.1,Dry,Medium (209),High (28),High (110),20,15,25,43,94,42,Urea,SSP,MOP,Apply NPK basal; ensure proper rhizobium inoculation,
Soybean,Black soil,6.2,Normal,High (273),Low (14),High (218),27,16,16,59,100,27,Urea,SSP,MOP,Apply NPK basal; ensure proper rhizobium inoculation,
Maize,Alluvial,7.4,Humid,High (251),Medium (23),High (289),59,24,22,128,0,37,Urea,DAP,MOP,"Half N basal, half at knee-high stage; P & K basal",
Potato,Black soil,5.9,Normal,High (264),Medium (21),High (193),70,25,40,152,0,67,Urea,DAP,MOP,Add organic manure at planting; N & K split,
Groundnut,Clay loam,6.9,Dry,High (255),High (26),High (268),27,16,21,59,100,35,Urea,SSP,MOP,Apply gypsum at pegging; NPK basal,
Paddy,Red soil,7.4,Humid,Low (169),Medium (20),High (205),44,18,21,96,112,35,Urea,SSP,MOP,Apply N in 2–3 splits; P & K basal at planting,
Paddy,Red soil,7.4,Normal,High (283),Low (13),High (243),52,19,24,113,119,40,Urea,SSP,MOP,Apply N in 2–3 splits; P & K basal at planting,
Tomato,Alluvial,6.3,Rainy,High (283),Medium (20),High (214),47,23,24,102,0,40,Urea,DAP,MOP,Additional foliar sprays recommended; N & K in splits,
Soybean,Alluvial,6.9,Humid,Medium (203),Medium (19),High (177),27,18,17,59,112,28,Urea,SSP,MOP,Apply NPK basal; ensure proper rhizobium inoculation,
Maize,Red soil,6.3,Normal,Low (200),Low (10),High (276),51,25,22,111,0,37,Urea,DAP,MOP,"Half N basal, half at knee-high stage; P & K basal",
Red Gram,Black soil,7.7,Normal,Low (158),Medium (20),High (262),22,20,21,48,125,35,Urea,SSP,MOP,Apply NPK basal; split K at flowering,
Soybean,Black soil,7,Humid,Low (183),Medium (21),High (274),26,18,16,57,112,27,Urea,SSP,MOP,Apply NPK basal; ensure proper rhizobium inoculation,
Soybean,Alluvial,6.6,Rainy,High (268),Medium (17),High (268),29,18,25,63,112,42,Urea,SSP,MOP,Apply NPK basal; ensure proper rhizobium inoculation,
Soybean,Alluvial,5.9,Dry,High (259),Low (10),High (186),27,18,19,59,112,32,Urea,SSP,MOP,Apply NPK basal; ensure proper rhizobium inoculation,
Soybean,Black soil,5.6,Humid,Medium (222),Low (14),High (124),30,18,23,65,112,38,Urea,SSP,MOP,Apply NPK basal; ensure proper rhizobium inoculation,
Cotton,Red soil,7.3,Normal,Medium (243),Medium (17),High (179),42,16,35,91,0,58,Urea,DAP,MOP,Apply ZnSO₄ if deficiency seen; N in splits,
Cotton,Clay loam,5.6,Normal,Low (196),High (26),High (167),45,19,26,98,0,43,Urea,DAP,MOP,Apply ZnSO₄ if deficiency seen; N in splits,
Maize,Red soil,6.2,Normal,Medium (229),Low (13),High (117),58,24,20,126,0,33,Urea,DAP,MOP,"Half N basal, half at knee-high stage; P & K basal",
Soybean,Alluvial,6.8,Dry,Medium (240),Medium (22),High (268),25,19,16,54,119,27,Urea,SSP,MOP,Apply NPK basal; ensure proper rhizobium inoculation,
Groundnut,Black soil,7.4,Dry,Low (199),Medium (17),High (285),22,16,27,48,100,45,Urea,SSP,MOP,Apply gypsum at pegging; NPK basal,
Groundnut,Black soil,6.1,Humid,Medium (245),High (29),High (283),31,17,30,67,106,50,Urea,SSP,MOP,Apply gypsum at pegging; NPK basal,
Tomato,Red soil,6.9,Normal,Medium (244),Medium (18),High (289),46,24,34,100,0,57,Urea,DAP,MOP,Additional foliar sprays recommended; N & K in splits,
Cotton,Clay loam,5.7,Humid,Low (172),Low (15),High (141),44,24,31,96,0,52,Urea,DAP,MOP,Apply ZnSO₄ if deficiency seen; N in splits,
Potato,Red soil,6.6,Rainy,Low (170),Medium (23),High (280),58,21,38,126,0,63,Urea,DAP,MOP,Add organic manure at planting; N & K split,
Potato,Alluvial,7,Normal,Low (191),Medium (24),High (175),61,28,37,133,0,62,Urea,DAP,MOP,Add organic manure at planting; N & K split,
Paddy,Black soil,6.1,Rainy,Medium (227),Medium (16),High (102),40,24,20,87,150,33,Urea,SSP,MOP,Apply N in 2–3 splits; P & K basal at planting,
Wheat,Black soil,6.9,Dry,Medium (237),High (26),High (136),37,17,19,80,106,32,Urea,SSP,MOP,Top-dress N at crown root initiation; P & K basal,
Paddy,Clay loam,7.5,Rainy,Medium (246),Low (12),High (196),44,18,21,96,112,35,Urea,SSP,MOP,Apply N in 2–3 splits; P & K basal at planting,
Red Gram,Red soil,7.2,Rainy,Medium (237),Low (12),High (161),28,15,15,61,94,25,Urea,SSP,MOP,Apply NPK basal; split K at flowering,
Potato,Alluvial,6.4,Humid,High (269),Medium (18),High (169),69,25,33,150,0,55,Urea,DAP,MOP,Add organic manure at planting; N & K split,
Soybean,Red soil,5.6,Rainy,High (258),Medium (19),High (191),24,18,20,52,112,33,Urea,SSP,MOP,Apply NPK basal; ensure proper rhizobium inoculation,
Sugarcane,Black soil,7.3,Normal,High (299),Medium (20),High (294),94,32,32,204,0,53,Urea,DAP,MOP,Apply N & K in 3 splits; P basal,
Tomato,Red soil,7.2,Rainy,Medium (204),Medium (16),High (129),59,25,25,128,0,42,Urea,DAP,MOP,Additional foliar sprays recommended; N & K in splits,
Paddy,Red soil,6.7,Humid,Low (188),Medium (16),High (300),48,16,17,104,100,28,Urea,SSP,MOP,Apply N in 2–3 splits; P & K basal at planting,
Maize,Clay loam,6.6,Dry,High (278),Medium (23),High (183),54,25,21,117,0,35,Urea,DAP,MOP,"Half N basal, half at knee-high stage; P & K basal",
Groundnut,Black soil,7.1,Rainy,Low (152),Low (14),High (157),20,19,24,43,119,40,Urea,SSP,MOP,Apply gypsum at pegging; NPK basal,
Maize,Alluvial,5.6,Normal,Low (159),Medium (22),High (169),50,25,24,109,0,40,Urea,DAP,MOP,"Half N basal, half at knee-high stage; P & K basal",
Cotton,Alluvial,5.7,Dry,High (266),Low (14),High (139),45,16,32,98,0,53,Urea,DAP,MOP,Apply ZnSO₄ if deficiency seen; N in splits,
Soybean,Black soil,6.5,Dry,Medium (217),High (27),High (110),23,16,17,50,100,28,Urea,SSP,MOP,Apply NPK basal; ensure proper rhizobium inoculation,
Cotton,Clay loam,7.4,Dry,Medium (209),Low (15),High (132),39,18,31,85,0,52,Urea,DAP,MOP,Apply ZnSO₄ if deficiency seen; N in splits,
Soybean,Alluvial,6.8,Humid,Low (167),Medium (17),High (260),20,18,24,43,112,40,Urea,SSP,MOP,Apply NPK basal; ensure proper rhizobium inoculation,
Red Gram,Red soil,6.2,Dry,Low (169),Low (15),High (171),25,17,17,54,106,28,Urea,SSP,MOP,Apply NPK basal; split K at flowering,
Soybean,Sandy loam,7,Humid,High (273),High (30),High (141),21,17,22,46,106,37,Urea,SSP,MOP,Apply NPK basal; ensure proper rhizobium inoculation,
Wheat,Red soil,6.9,Normal,Medium (208),Medium (24),High (235),42,24,18,91,150,30,Urea,SSP,MOP,Top-dress N at crown root initiation; P & K basal,
Sugarcane,Clay loam,7.3,Normal,High (261),Medium (18),High (227),96,31,38,209,0,63,Urea,DAP,MOP,Apply N & K in 3 splits; P basal,
Soybean,Sandy loam,6.1,Dry,High (293),Medium (24),High (296),27,19,23,59,119,38,Urea,SSP,MOP,Apply NPK basal; ensure proper rhizobium inoculation,
Wheat,Red soil,5.8,Humid,Low (181),High (29),High (212),47,25,24,102,156,40,Urea,SSP,MOP,Top-dress N at crown root initiation; P & K basal,
Cotton,Red soil,6.7,Dry,Medium (249),Low (13),High (105),38,23,28,83,0,47,Urea,DAP,MOP,Apply ZnSO₄ if deficiency seen; N in splits,
Red Gram,Red soil,6.7,Dry,Low (181),High (27),High (219),29,15,18,63,94,30,Urea,SSP,MOP,Apply NPK basal; split K at flowering,
Red Gram,Black soil,5.6,Normal,High (300),Medium (16),High (283),29,15,19,63,94,32,Urea,SSP,MOP,Apply NPK basal; split K at flowering,
Soybean,Alluvial,6.9,Normal,High (276),High (30),High (212),25,20,16,54,125,27,Urea,SSP,MOP,Apply NPK basal; ensure proper rhizobium inoculation,
Soybean,Clay loam,5.6,Rainy,Medium (211),Low (12),High (112),23,16,23,50,100,38,Urea,SSP,MOP,Apply NPK basal; ensure proper rhizobium inoculation,
Tomato,Red soil,7,Humid,High (287),Medium (17),High (105),55,28,27,120,0,45,Urea,DAP,MOP,Additional foliar sprays recommended; N & K in splits,
Paddy,Sandy loam,7.6,Rainy,Low (196),Medium (24),High (113),40,19,15,87,119,25,Urea,SSP,MOP,Apply N in 2–3 splits; P & K basal at planting,
Potato,Alluvial,6.4,Humid,High (289),Medium (18),High (234),59,21,34,128,0,57,Urea,DAP,MOP,Add organic manure at planting; N & K split,
Wheat,Clay loam,6.8,Rainy,High (261),Medium (24),High (167),43,21,20,93,131,33,Urea,SSP,MOP,Top-dress N at crown root initiation; P & K basal,
Tomato,Clay loam,6.6,Normal,Low (158),High (28),High (121),52,21,34,113,0,57,Urea,DAP,MOP,Additional foliar sprays recommended; N & K in splits,
Wheat,Alluvial,6.1,Humid,Low (158),Medium (19),High (163),48,19,24,104,119,40,Urea,SSP,MOP,Top-dress N at crown root initiation; P & K basal,
Potato,Red soil,6.1,Normal,High (266),Medium (22),High (268),52,24,40,113,0,67,Urea,DAP,MOP,Add organic manure at planting; N & K split,
Maize,Sandy loam,7.2,Normal,Low (158),High (28),High (218),51,20,20,111,0,33,Urea,DAP,MOP,"Half N basal, half at knee-high stage; P & K basal",
Tomato,Black soil,5.6,Dry,Medium (206),Medium (20),High (106),47,30,20,102,0,33,Urea,DAP,MOP,Additional foliar sprays recommended; N & K in splits,
Soybean,Sandy loam,6.7,Normal,High (260),High (26),High (178),27,18,15,59,112,25,Urea,SSP,MOP,Apply NPK basal; ensure proper rhizobium inoculation,
Groundnut,Sandy loam,6.5,Dry,Low (161),Low (10),High (206),20,22,25,43,138,42,Urea,SSP,MOP,Apply gypsum at pegging; NPK basal,
Potato,Alluvial,7.4,Humid,Low (186),Medium (18),High (296),55,22,31,120,0,52,Urea,DAP,MOP,Add organic manure at planting; N & K split,
Red Gram,Clay loam,7.8,Normal,High (285),Low (15),High (287),27,19,16,59,119,27,Urea,SSP,MOP,Apply NPK basal; split K at flowering,
Soybean,Red soil,6.8,Rainy,Medium (211),Low (15),High (177),30,15,24,65,94,40,Urea,SSP,MOP,Apply NPK basal; ensure proper rhizobium inoculation,
Potato,Black soil,5.9,Normal,Low (155),High (29),High (218),59,26,31,128,0,52,Urea,DAP,MOP,Add organic manure at planting; N & K split,
Paddy,Alluvial,7.6,Normal,Low (188),High (29),High (239),42,20,18,91,125,30,Urea,SSP,MOP,Apply N in 2–3 splits; P & K basal at planting,
Paddy,Alluvial,7.5,Normal,Medium (229),Medium (17),High (288),44,19,15,96,119,25,Urea,SSP,MOP,Apply N in 2–3 splits; P & K basal at planting,
Tomato,Sandy loam,6.3,Humid,Low (155),Medium (18),High (131),59,30,21,128,0,35,Urea,DAP,MOP,Additional foliar sprays recommended; N & K in splits,
Soybean,Black soil,5.7,Humid,High (281),High (30),High (223),21,18,22,46,112,37,Urea,SSP,MOP,Apply NPK basal; ensure proper rhizobium inoculation,
Red Gram,Red soil,6.7,Dry,Medium (221),Medium (17),High (165),23,18,15,50,112,25,Urea,SSP,MOP,Apply NPK basal; split K at flowering,
Wheat,Alluvial,5.8,Rainy,High (295),High (29),High (166),37,16,22,80,100,37,Urea,SSP,MOP,Top-dress N at crown root initiation; P & K basal,
Red Gram,Red soil,7.2,Normal,Medium (211),High (29),High (189),30,18,16,65,112,27,Urea,SSP,MOP,Apply NPK basal; split K at flowering,
Wheat,Alluvial,7.6,Rainy,Low (166),Medium (20),High (109),41,23,23,89,144,38,Urea,SSP,MOP,Top-dress N at crown root initiation; P & K basal,
Wheat,Clay loam,5.6,Normal,Low (199),Medium (25),High (271),44,17,24,96,106,40,Urea,SSP,MOP,Top-dress N at crown root initiation; P & K basal,
Potato,Red soil,5.7,Humid,Low (186),Medium (16),High (110),61,22,35,133,0,58,Urea,DAP,MOP,Add organic manure at planting; N & K split,
Soybean,Clay loam,6.2,Dry,Medium (240),Low (15),High (239),26,17,15,57,106,25,Urea,SSP,MOP,Apply NPK basal; ensure proper rhizobium inoculation,
Red Gram,Black soil,6.6,Rainy,High (267),Medium (22),High (170),21,20,21,46,125,35,Urea,SSP,MOP,Apply NPK basal; split K at flowering,
Groundnut,Black soil,6.1,Normal,Medium (215),High (26),High (185),34,15,22,74,94,37,Urea,SSP,MOP,Apply gypsum at pegging; NPK basal,
Sugarcane,Sandy loam,7.2,Normal,High (285),Medium (24),High (108),94,28,32,204,0,53,Urea,DAP,MOP,Apply N & K in 3 splits; P basal,
Wheat,Sandy loam,6.7,Dry,Low (181),Low (10),High (215),35,19,20,76,119,33,Urea,SSP,MOP,Top-dress N at crown root initiation; P & K basal,
Maize,Clay loam,6.4,Dry,Medium (208),Medium (20),High (125),50,21,22,109,0,37,Urea,DAP,MOP,"Half N basal, half at knee-high stage; P & K basal",
Maize,Sandy loam,6.7,Humid,High (300),High (30),High (109),57,25,20,124,0,33,Urea,DAP,MOP,"Half N basal, half at knee-high stage; P & K basal",
Cotton,Sandy loam,7.2,Dry,High (252),High (27),High (102),36,20,29,78,0,48,Urea,DAP,MOP,Apply ZnSO₄ if deficiency seen; N in splits,
Red Gram,Alluvial,6.6,Rainy,Low (165),Medium (16),High (246),27,17,15,59,106,25,Urea,SSP,MOP,Apply NPK basal; split K at flowering,
Cotton,Sandy loam,5.8,Dry,Medium (225),Low (12),High (292),43,23,25,93,0,42,Urea,DAP,MOP,Apply ZnSO₄ if deficiency seen; N in splits,
Maize,Red soil,7.4,Normal,Low (150),Low (14),High (264),53,22,20,115,0,33,Urea,DAP,MOP,"Half N basal, half at knee-high stage; P & K basal",
Red Gram,Clay loam,7.8,Normal,High (287),Medium (25),High (110),25,19,16,54,119,27,Urea,SSP,MOP,Apply NPK basal; split K at flowering,
Tomato,Sandy loam,6.2,Normal,High (294),Medium (25),High (118),59,27,20,128,0,33,Urea,DAP,MOP,Additional foliar sprays recommended; N & K in splits,
Groundnut,Red soil,7.3,Dry,Medium (244),High (29),High (172),29,18,26,63,112,43,Urea,SSP,MOP,Apply gypsum at pegging; NPK basal,
Sugarcane,Clay loam,6.6,Dry,High (262),Low (10),High (207),99,34,40,215,0,67,Urea,DAP,MOP,Apply N & K in 3 splits; P basal,
Red Gram,Black soil,7.5,Rainy,Low (150),Medium (22),High (237),29,20,16,63,125,27,Urea,SSP,MOP,Apply NPK basal; split K at flowering,
Tomato,Alluvial,5.9,Humid,Low (198),High (28),High (297),46,29,31,100,0,52,Urea,DAP,MOP,Additional foliar sprays recommended; N & K in splits,
Soybean,Black soil,6.8,Dry,High (274),High (29),High (292),29,16,25,63,100,42,Urea,SSP,MOP,Apply NPK basal; ensure proper rhizobium inoculation,
Tomato,Sandy loam,6,Normal,Low (200),Medium (17),High (286),55,25,32,120,0,53,Urea,DAP,MOP,Additional foliar sprays recommended; N & K in splits,
Paddy,Clay loam,7.3,Normal,Medium (215),Medium (19),High (101),54,23,18,117,144,30,Urea,SSP,MOP,Apply N in 2–3 splits; P & K basal at planting,
Soybean,Red soil,6.6,Normal,High (255),Low (11),High (244),27,18,17,59,112,28,Urea,SSP,MOP,Apply NPK basal; ensure proper rhizobium inoculation,
Soybean,Black soil,6.6,Humid,High (270),Low (11),High (222),23,20,15,50,125,25,Urea,SSP,MOP,Apply NPK basal; ensure proper rhizobium inoculation,
Maize,Clay loam,7.3,Normal,Low (196),Medium (16),High (137),59,21,25,128,0,42,Urea,DAP,MOP,"Half N basal, half at knee-high stage; P & K basal",
Tomato,Alluvial,6.2,Normal,Low (152),Medium (19),High (257),55,24,33,120,0,55,Urea,DAP,MOP,Additional foliar sprays recommended; N & K in splits,
Paddy,Alluvial,6.8,Dry,High (284),High (28),High (147),44,23,24,96,144,40,Urea,SSP,MOP,Apply N in 2–3 splits; P & K basal at planting,
Cotton,Sandy loam,7.5,Normal,Low (164),Medium (23),High (155),37,17,33,80,0,55,Urea,DAP,MOP,Apply ZnSO₄ if deficiency seen; N in splits,
Soybean,Alluvial,7.4,Normal,High (259),Medium (24),High (256),29,17,16,63,106,27,Urea,SSP,MOP,Apply NPK basal; ensure proper rhizobium inoculation,
Groundnut,Clay loam,6.9,Rainy,Low (175),Low (14),High (265),31,24,27,67,150,45,Urea,SSP,MOP,Apply gypsum at pegging; NPK basal,
Wheat,Alluvial,6.2,Dry,Low (195),High (28),High (300),46,16,18,100,100,30,Urea,SSP,MOP,Top-dress N at crown root initiation; P & K basal,
Cotton,Clay loam,5.7,Dry,Low (180),Medium (20),High (284),46,19,32,100,0,53,Urea,DAP,MOP,Apply ZnSO₄ if deficiency seen; N in splits,
Potato,Sandy loam,6.1,Normal,High (294),Low (12),High (192),61,26,40,133,0,67,Urea,DAP,MOP,Add organic manure at planting; N & K split,
Potato,Clay loam,6.6,Normal,High (260),Low (14),High (295),59,24,30,128,0,50,Urea,DAP,MOP,Add organic manure at planting; N & K split,
Soybean,Alluvial,6.4,Dry,Low (198),Medium (25),High (145),20,18,23,43,112,38,Urea,SSP,MOP,Apply NPK basal; ensure proper rhizobium inoculation,
Cotton,Black soil,5.8,Dry,Low (151),Low (14),High (300),38,22,33,83,0,55,Urea,DAP,MOP,Apply ZnSO₄ if deficiency seen; N in splits,
Red Gram,Alluvial,6.9,Humid,Medium (227),Low (12),High (160),26,17,19,57,106,32,Urea,SSP,MOP,Apply NPK basal; split K at flowering,
